year month popn cases
2000  01  49150  101   
2000  02  49170  108   
2000  03  49190  103   
2000  04  49210  104   
2000  05  49220  109   
2000  06  49240  100   
2000  07  49260   92   
2000  08  49280  112   
2000  09  49300  119   
2000  10  49310   97   
2000  11  49330  101   
2000  12  49350   80   
2001  01  49370   82   
2001  02  49380   81   
2001  03  49400  104   
2001  04  49420  103   
2001  05  49430  116   
2001  06  49450  121   
2001  07  49460  104   
2001  08  49480  103   
2001  09  49500   81   
2001  10  49510  112   
2001  11  49530  100   
2001  12  49540  111   
2002  01  49560   79   
2002  02  49580  125   
2002  03  49590  110   
2002  04  49610  131   
2002  05  49620  114   
2002  06  49640   90   
2002  07  49660   83   
2002  08  49670   97   
2002  09  49690   85   
2002  10  49710  106   
2002  11  49730   98   
2002  12  49750   99   
2003  01  49760  108   
2003  02  49780   77   
2003  03  49800  102   
2003  04  49820   95   
2003  05  49840  104   
2003  06  49860   94   
2003  07  49880  108   
2003  08  49900  121   
2003  09  49930  111   
2003  10  49950   95   
2003  11  49970  109   
2003  12  49990   94   
2004  01  50020   82   
2004  02  50040  103   
2004  03  50060   99   
2004  04  50090  102   
2004  05  50110  104   
2004  06  50130  160   
2004  07  50160  103   
2004  08  50180  128   
2004  09  50210  102   
2004  10  50230   98   
2004  11  50260   -9   
2004  12  50280   94   
2005  01  50310   79   
2005  02  50330  100   
2005  03  50360  114   
2005  04  50390  152   
2005  05  50410  133   
2005  06  50440  114   
2005  07  50470  131   
2005  08  50490  117   
2005  09  50520  116   
2005  10  50550  119   
2005  11  50580  119   
2005  12  50600  128   
2006  01  50630  127   
2006  02  50660  120   
2006  03  50690  112   
2006  04  50710  120   
2006  05  50740  134   
2006  06  50770  127   
2006  07  50800  126   
2006  08  50830  126   
2006  09  50860  110   
2006  10  50880  125   
2006  11  50910  108   
2006  12  50940  108   
2007  01  50970  112   
2007  02  51000   -9   
2007  03  51030   85   
2007  04  51060  134   
2007  05  51080  138   
2007  06  51110  140   
2007  07  51140  113   
2007  08  51170  158   
2007  09  51200  112   
2007  10  51230  122   
2007  11  51260  136   
2007  12  51290  115   
2008  01  51310  110   
2008  02  51340  108   
2008  03  51370  141   
2008  04  51400  103   
2008  05  51430  150   
2008  06  51460  124   
2008  07  51490  135   
2008  08  51520  123   
2008  09  51550  153   
2008  10  51580  118   
2008  11  51610  152   
2008  12  51630  123   
2009  01  51660  133   
2009  02  51690  138   
2009  03  51720  144   
2009  04  51750  108   
2009  05  51780  152   
2009  06  51810  115   
2009  07  51840  141   
2009  08  51870  143   
2009  09  51900  126   
2009  10  51930  151   
2009  11  51960  131   
2009  12  51990  124   
2010  01  52020  123   
2010  02  52050  125   
2010  03  52080  151   
2010  04  52110  164   
2010  05  52150  133
2010  06  52180  138
2010  07  52220  147
2010  08  52230  128
2010  09  52300  137
2010  10  52330  156
2010  11  52370  138
2010  12  52410  138
2011  01  52440  164
2011  02  52480  120
2011  03  52520  119
2011  04  52550  140
2011  05  52590  162
2011  06  52630  115
2011  07  52670  140
2011  08  52700  172
2011  09  52740   -9
2011  10  52780  155
2011  11  52810  187
2011  12  52850  160
2012  01  52890  233
2012  02  52920  184
2012  03  52961  163
2012  04  53000  158
2012  05  53040  152
2012  06  53070  183
2012  07  53110  162
2012  08  53150  161
2012  09  53180  187  
2012  10  53220  182
2012  11  53260  178
2012  12  53290  186
2013  01  53331  155  
2013  02  53370  133
2013  03  53410  208
